customer_id,credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,churn
15598695,834,Germany,Female,68,9,130169.27,2,0,1,93112.2,0
15649354,754,Spain,Male,35,4,0.0,2,1,1,9658.41,0
15737556,590,France,Male,43,7,81076.8,2,1,1,182627.25,1
15671610,740,France,Male,36,7,0.0,1,1,1,13177.4,0
15625092,502,Germany,Female,57,3,101465.31,1,1,0,43568.31,1
15741032,733,France,Male,48,5,0.0,1,0,1,117830.57,0
15750014,755,Germany,Female,37,0,113865.23,2,1,1,117396.25,0
15784761,554,Spain,Female,46,7,87603.35,3,0,1,96929.24,1
15768359,534,France,Male,36,4,120037.96,1,1,0,36275.94,0
15805769,656,Spain,Male,33,4,0.0,2,1,0,116706.0,0
15719508,575,Germany,Male,49,7,121205.15,4,1,1,168080.53,1
15609011,480,Spain,Male,47,8,75408.33,1,1,0,25887.89,1
15703106,575,France,Male,40,5,0.0,2,1,1,122488.59,0
15626795,672,France,Female,40,3,0.0,1,1,0,113171.61,1
15773731,758,Spain,Female,35,5,0.0,2,0,0,100365.51,0
15756196,682,France,Male,50,6,121818.84,2,0,1,124151.37,0
15687903,501,France,Female,29,8,0.0,2,1,0,112664.24,0
15777599,746,Germany,Male,34,6,141806.0,2,1,1,183494.87,0
15754577,556,France,Female,51,8,61354.14,1,1,0,198810.65,1
15584113,823,Germany,Female,53,4,124954.94,1,0,1,131259.6,1
15669589,491,Germany,Female,68,1,95039.12,1,0,1,116471.14,1
15632793,638,France,Female,29,9,103417.74,1,1,1,15336.4,0
15711130,734,France,Male,45,2,0.0,2,1,0,99593.28,0
15615254,555,France,Male,40,10,43028.77,1,1,0,170514.21,0
15720583,745,Germany,Female,44,0,119638.21,1,1,1,34265.08,1
15780432,728,France,Male,37,3,122689.51,2,0,0,106977.53,1
15673223,626,France,Male,44,10,0.0,2,0,0,164287.86,0
15807989,681,Germany,Male,37,8,73179.34,2,1,1,25292.53,0
15761168,478,France,Female,38,4,171913.87,1,1,0,51820.87,1
15651272,709,France,Male,38,5,0.0,2,1,1,81452.29,0
15812832,562,Germany,Male,33,8,92659.2,2,1,0,1354.25,0
15680517,769,Germany,Female,34,7,137239.17,1,1,1,71379.92,1
15750569,684,Germany,Female,46,3,102955.14,2,1,0,154137.33,0
15690743,536,France,Female,61,8,65190.29,1,1,1,64308.49,1
15627741,631,Germany,Female,29,2,96863.52,2,1,1,31613.35,0
15712121,657,Spain,Male,34,5,154983.98,1,1,0,27738.01,0
15805429,699,Germany,Male,59,3,106819.65,1,0,1,163570.25,0
15814923,606,Spain,Male,38,7,128578.52,1,1,1,193878.51,0
15589230,612,France,Female,63,2,126473.33,1,0,1,147545.65,0
15775490,660,France,Female,38,5,110570.78,2,1,0,195906.59,0
15749727,829,Spain,Male,50,7,0.0,2,0,1,178458.86,0
15619238,567,Spain,Male,29,8,0.0,2,1,0,156125.72,0
15593468,850,France,Female,33,3,0.0,2,1,1,11159.19,0
15718454,712,Spain,Female,44,2,0.0,2,0,0,45738.94,0
15789498,562,France,Male,30,3,111099.79,2,0,0,140650.19,0
15744691,755,France,Female,29,3,0.0,3,1,0,4733.94,0
15708289,793,Spain,Male,25,3,100913.57,1,0,0,10579.72,0
15790412,471,Spain,Male,26,8,0.0,2,1,1,179655.87,0
15741416,707,France,Male,42,2,16893.59,1,1,1,77502.56,0
15598894,784,Spain,Male,38,10,122267.85,1,0,0,145759.93,0
15663294,703,France,Male,32,1,125685.79,1,1,1,56246.72,0
15572728,704,Spain,Male,36,8,127397.34,1,1,0,151335.24,0
15706729,662,France,Male,38,0,105271.56,1,0,1,179833.45,0
15674433,636,Germany,Female,28,2,115265.14,1,0,0,191627.85,0
15641170,640,Spain,Male,36,4,0.0,1,0,0,173016.46,0
15806284,739,Spain,Male,31,1,0.0,2,1,1,58469.75,0
15690958,767,Germany,Male,23,2,139542.82,1,0,1,28038.28,0
15606386,753,Germany,Female,46,3,111512.75,3,1,0,159576.75,1
15682322,714,France,Male,37,9,148466.93,2,0,1,151280.96,0
15579915,707,France,Male,29,4,0.0,2,1,0,139953.94,0
15681928,577,France,Female,35,4,108155.49,1,1,0,105407.79,0
15734005,633,France,Female,42,1,0.0,2,1,0,56865.62,0
15650432,849,Germany,Male,41,10,84622.13,1,1,1,198072.16,0
15592578,614,Spain,Female,41,7,146997.64,2,0,0,137791.18,0
15671243,558,France,Female,47,9,0.0,2,1,0,103787.28,0
15775709,832,France,Female,27,10,98590.25,1,1,0,30912.89,0
15702631,567,France,Female,26,2,0.0,2,1,1,78651.55,0
15602282,587,Germany,Female,45,8,134980.74,1,1,1,123309.57,1
15717879,712,Spain,Female,79,5,108078.56,1,1,1,174118.93,0
15740878,655,Spain,Female,29,9,0.0,2,0,1,85736.26,0
15794468,641,France,Female,42,6,0.0,2,0,0,121138.77,0
15773277,676,France,Male,35,5,106836.67,2,1,0,84199.78,0
15572657,472,France,Male,29,8,102490.27,1,0,1,181224.56,0
15800295,644,Germany,Male,34,9,112746.54,2,0,0,141230.07,0
15672397,598,France,Male,38,0,125487.89,1,0,0,158111.71,0
15684921,792,Spain,Male,25,8,142862.21,1,1,1,130639.01,0
15720676,700,France,Female,37,7,0.0,2,1,0,17040.82,0
15731829,616,France,Male,34,10,0.0,2,1,0,25662.27,0
15732672,743,Spain,Male,35,6,79388.33,1,1,1,193360.69,0
15692406,427,France,Male,37,5,0.0,2,1,1,121485.1,0
15764405,731,France,Male,29,10,0.0,2,1,1,162452.65,0
15757537,610,France,Female,31,6,107784.65,1,1,1,141137.53,0
15793307,724,Spain,Female,41,4,142880.28,3,0,0,185541.2,1
15660679,653,Spain,Female,38,9,149571.94,1,1,0,118383.18,0
15666856,774,France,Male,49,1,142767.39,1,1,1,8214.41,0
15687372,547,Germany,Male,49,8,121537.71,2,1,0,46521.45,1
15667289,719,Spain,Male,50,2,0.0,2,0,0,10772.13,0
15624641,740,Spain,Male,43,9,0.0,1,1,0,199290.68,1
15734610,543,France,Male,42,4,89838.71,3,1,0,85983.54,1
15631882,688,Germany,Male,45,9,103399.87,1,0,0,129870.93,0
15642709,474,France,Female,30,9,0.0,2,0,0,63158.22,0
15811026,505,Germany,Male,43,5,136855.94,2,1,0,171070.52,0
15596303,688,France,Female,39,0,0.0,2,1,0,53222.15,1
15787255,650,Germany,Female,55,2,140891.46,3,1,1,179834.45,1
15617166,610,France,Male,37,0,0.0,1,1,0,114514.64,0
15742442,705,Spain,Female,46,5,89364.91,1,0,1,139162.15,0
15758692,669,France,Female,29,7,146011.4,1,0,0,50249.16,0
15568238,650,Spain,Male,20,8,0.0,2,1,1,113469.65,0
15730353,550,Germany,Male,29,9,145294.08,2,1,0,147484.13,0
15731555,595,Germany,Female,45,9,106000.12,1,0,0,191448.96,1
15582404,572,Spain,Female,26,5,0.0,2,1,0,119381.41,0
15721462,622,Spain,Female,58,2,0.0,2,1,1,33277.31,0
15632899,662,Spain,Male,20,9,104508.77,2,0,0,73107.53,0
15808526,783,Germany,Female,58,3,127539.3,1,1,1,96590.39,1
15694349,714,Spain,Male,44,7,0.0,1,0,1,6923.11,0
15718465,671,Germany,Male,51,3,96891.46,1,1,0,176403.33,1
15682995,600,France,Female,32,1,78535.25,1,1,0,64349.6,0
15584776,847,Spain,Female,37,9,112712.17,1,1,0,116097.26,0
15777772,650,Spain,Male,55,9,119618.42,1,1,1,29861.13,0
15576156,710,Spain,Female,28,6,0.0,1,1,0,48426.98,0
15646756,682,France,Female,33,8,74963.5,1,1,1,32770.56,0
15742886,642,France,Male,26,1,138023.79,2,0,1,117060.2,0
15586135,536,Spain,Female,28,4,0.0,1,1,1,136197.65,0
15616152,754,France,Female,47,1,185513.67,1,1,0,27438.83,0
15721460,678,France,Male,60,8,185648.56,1,0,0,192156.54,1
15727317,533,Germany,Female,49,1,102286.6,3,1,0,69409.37,1
15649536,741,Germany,Male,38,4,128015.83,1,1,0,58440.43,0
15754929,757,France,Male,31,10,39539.39,2,0,0,192519.39,0
15572051,721,France,Male,40,3,0.0,1,1,1,144874.67,0
15668142,700,France,Male,37,3,77608.46,2,1,1,175373.46,0
15701176,663,France,Male,26,5,141462.13,1,1,0,440.2,0
15708422,677,Spain,Female,35,0,0.0,2,0,0,76637.38,0
15655632,655,France,Male,27,2,131691.33,1,1,0,49480.66,0
15744606,832,Spain,Male,29,8,93833.86,1,0,1,10417.87,0
15612140,721,Spain,Female,46,7,137933.39,1,1,1,67976.57,0
15656086,542,Spain,Male,54,8,105770.14,1,0,1,140929.98,1
15655298,654,Spain,Female,54,5,0.0,2,0,1,47139.06,0
15644796,821,Spain,Female,38,8,0.0,2,0,1,126241.4,1
15726250,508,France,Female,38,3,166328.65,2,0,1,22614.19,0
15764432,588,Germany,Female,42,2,164307.77,1,1,0,48498.19,0
15631721,691,Germany,Male,38,9,163965.69,2,0,1,103511.26,0
15707479,664,France,Male,40,7,125608.72,1,1,0,122073.48,0
15579826,439,France,Female,66,9,0.0,1,1,0,65535.56,0
15668104,479,Spain,Male,37,6,118433.94,1,0,1,160060.9,0
15641604,850,France,Female,55,10,98488.08,1,1,0,155879.57,1
15587240,518,France,Male,40,4,0.0,2,0,1,194416.58,0
15680767,717,Germany,Female,64,10,98362.35,2,1,1,21630.21,0
15601594,698,France,Female,51,6,144237.91,4,1,0,157143.61,1
15589969,850,France,Male,34,6,0.0,1,0,1,52796.31,0
15703728,700,Spain,Male,47,4,0.0,1,1,0,121798.52,1
15617790,626,France,Female,29,4,105767.28,2,0,0,41104.82,0
15662500,774,Spain,Male,32,9,0.0,2,1,0,10604.48,0
15778526,719,Spain,Female,48,5,0.0,2,0,0,78563.66,0
15670584,646,Spain,Male,31,2,0.0,1,1,1,170821.43,1
15748069,485,France,Female,25,3,134467.26,1,1,1,113266.09,0
15680597,784,Germany,Male,38,1,138515.02,1,1,1,171768.76,0
15628992,850,Germany,Male,32,2,128647.98,2,0,0,54416.18,0
15719624,669,France,Female,38,9,121858.98,1,1,0,130755.34,0
15812767,731,Spain,Male,70,3,0.0,2,1,1,141180.66,0
15689201,721,France,Female,49,1,120108.56,1,0,1,183421.76,0
15614716,515,France,Female,37,0,196853.62,1,1,1,132770.11,0
15683618,774,France,Female,35,3,121418.62,1,1,1,24400.37,0
15799631,585,Spain,Male,36,10,0.0,2,1,1,180318.6,0
15692259,695,France,Female,29,9,0.0,2,1,0,111565.45,0
15590966,729,Germany,Female,42,4,97495.8,2,0,0,2002.5,0
15656426,713,France,Female,42,3,0.0,2,0,0,82565.01,0
15675256,555,Spain,Male,33,5,127343.4,1,0,1,121789.3,0
15751185,699,Spain,Female,50,0,158633.61,1,1,0,193785.87,0
15789582,587,France,Male,55,9,0.0,1,1,0,64593.07,0
15651103,762,Spain,Female,69,9,183744.98,1,1,1,196993.69,0
15672299,510,France,Male,44,6,0.0,2,1,1,175518.31,0
15772250,842,Spain,Male,46,9,0.0,1,0,0,17268.02,0
15763922,608,France,Male,31,7,79962.92,2,1,0,60901.72,0
15633870,850,France,Female,36,10,0.0,2,1,1,100750.03,0
15624323,642,France,Male,36,4,0.0,2,1,1,195224.91,0
15688612,850,France,Male,33,7,140956.99,1,0,0,3510.18,0
15694644,455,Spain,Female,43,6,0.0,1,1,1,81250.79,0
15587174,726,France,Male,29,7,0.0,2,1,1,91844.14,1
15579559,544,Spain,Male,30,8,145241.63,1,1,1,80676.83,0
15775430,651,Germany,Male,31,7,138008.06,2,1,0,129912.74,0
15623695,814,France,Female,31,4,0.0,2,1,1,142029.17,0
15760849,537,France,Male,39,2,0.0,2,1,1,137651.6,0
15813095,553,France,Male,37,2,0.0,2,1,0,33877.29,0
15705281,800,Spain,Male,38,9,0.0,1,1,0,78744.39,0
15812594,791,France,Male,34,7,0.0,2,1,0,96734.46,0
15626322,699,Spain,Female,29,9,127570.93,2,1,0,164756.81,0
15723105,756,France,Female,28,6,0.0,1,1,1,164394.65,0
15588449,591,Spain,Female,27,5,107812.67,1,0,1,162501.83,1
15794849,850,Germany,Male,22,7,91560.58,2,0,0,10541.38,0
15620000,760,Germany,Male,34,6,121303.77,2,1,1,59325.21,0
15799720,569,Spain,Male,43,8,161546.68,2,0,1,178187.28,0
15711287,661,Spain,Female,35,5,128415.45,1,1,0,142626.49,0
15613102,670,France,Female,31,2,57530.06,1,1,1,181893.31,1
15621440,694,France,Male,38,1,0.0,2,0,1,156858.2,0
15677146,728,France,Female,28,4,142243.54,2,1,0,33074.51,0
15801169,764,Germany,Female,39,9,138341.51,1,1,0,50072.94,1
15722425,639,France,Male,32,9,0.0,2,1,0,111340.36,0
15682421,683,France,Female,30,2,0.0,2,0,1,100496.84,1
15691910,663,Spain,Male,30,4,0.0,3,1,0,101371.05,0
15721779,826,Spain,Male,41,5,146466.46,2,0,0,180934.67,0
15579548,735,Spain,Male,36,5,0.0,2,1,0,105152.17,0
15681075,682,France,Female,58,1,0.0,1,1,1,706.5,0
15607884,663,France,Female,39,8,0.0,2,1,1,101168.9,0
15767757,562,Spain,Female,29,9,120307.58,1,1,1,6795.61,0
15791550,696,France,Male,27,4,87637.26,2,0,0,196111.35,0
15658589,850,Spain,Male,38,2,94652.04,1,1,1,171960.76,0
15670822,719,France,Female,22,7,114415.84,1,1,1,177497.4,0
15629744,804,France,Female,71,8,0.0,2,0,1,147995.96,0
